model_slug,prompt_strategy,seed,examples_evaluated,successful_requests,failed_requests,valid_json_requests,schema_valid_requests,truncated_requests,rejected_prediction_reasons,finish_reasons
aya-expanse-8b,one-shot,1771,1000,1000,0,994,28,6,"{""invalid_label"": 284, ""missing_fields"": 1, ""out_of_range_indices"": 103, ""text_mismatch"": 3284}","{""length"": 6, ""stop"": 994}"
aya-expanse-8b,one-shot,2401,1000,1000,0,1000,44,0,"{""invalid_label"": 215, ""out_of_range_indices"": 46, ""text_mismatch"": 2791}","{""stop"": 1000}"
aya-expanse-8b,one-shot,42,1000,1000,0,993,146,7,"{""invalid_label"": 188, ""out_of_range_indices"": 51, ""text_mismatch"": 2233}","{""length"": 7, ""stop"": 993}"
aya-expanse-8b,three-shot,1771,1000,1000,0,930,24,70,"{""invalid_label"": 544, ""out_of_range_indices"": 28, ""text_mismatch"": 3845}","{""length"": 70, ""stop"": 930}"
aya-expanse-8b,three-shot,2401,1000,1000,0,970,20,30,"{""invalid_label"": 489, ""out_of_range_indices"": 11, ""text_mismatch"": 3681}","{""length"": 30, ""stop"": 970}"
aya-expanse-8b,three-shot,42,1000,1000,0,971,50,29,"{""invalid_label"": 375, ""out_of_range_indices"": 16, ""text_mismatch"": 3165}","{""length"": 29, ""stop"": 971}"
aya-expanse-8b,zero-shot,fixed,1000,1000,0,986,17,14,"{""invalid_label"": 127, ""out_of_range_indices"": 144, ""text_mismatch"": 2495}","{""length"": 14, ""stop"": 986}"
gemma-3-12b-it,one-shot,1771,1000,1000,0,999,428,1,"{""invalid_label"": 22, ""out_of_range_indices"": 15, ""text_mismatch"": 1384}","{""length"": 1, ""stop"": 999}"
gemma-3-12b-it,one-shot,2401,1000,1000,0,999,350,1,"{""invalid_label"": 27, ""out_of_range_indices"": 8, ""overlapping_prediction"": 2, ""text_mismatch"": 1591}","{""length"": 1, ""stop"": 999}"
gemma-3-12b-it,one-shot,42,1000,1000,0,998,610,2,"{""invalid_label"": 23, ""out_of_range_indices"": 19, ""text_mismatch"": 987}","{""length"": 2, ""stop"": 998}"
gemma-3-12b-it,three-shot,1771,1000,1000,0,999,544,1,"{""invalid_label"": 34, ""overlapping_prediction"": 1, ""text_mismatch"": 895}","{""length"": 1, ""stop"": 999}"
gemma-3-12b-it,three-shot,2401,1000,1000,0,1000,568,0,"{""invalid_label"": 26, ""overlapping_prediction"": 1, ""text_mismatch"": 721}","{""stop"": 1000}"
gemma-3-12b-it,three-shot,42,1000,1000,0,999,703,1,"{""invalid_label"": 15, ""text_mismatch"": 492}","{""length"": 1, ""stop"": 999}"
gemma-3-12b-it,zero-shot,fixed,1000,1000,0,1000,252,0,"{""invalid_label"": 16, ""out_of_range_indices"": 56, ""text_mismatch"": 1781}","{""stop"": 1000}"
gemma-3-4b-it,one-shot,1771,1000,1000,0,944,420,56,"{""invalid_label"": 81, ""missing_fields"": 2, ""out_of_range_indices"": 87, ""text_mismatch"": 1361}","{""length"": 56, ""stop"": 944}"
gemma-3-4b-it,one-shot,2401,1000,1000,0,997,274,3,"{""invalid_label"": 26, ""out_of_range_indices"": 58, ""text_mismatch"": 1660}","{""length"": 3, ""stop"": 997}"
gemma-3-4b-it,one-shot,42,1000,1000,0,993,609,7,"{""invalid_label"": 16, ""out_of_range_indices"": 54, ""text_mismatch"": 709}","{""length"": 7, ""stop"": 993}"
gemma-3-4b-it,three-shot,1771,1000,1000,0,986,254,14,"{""invalid_label"": 13, ""missing_fields"": 2, ""out_of_range_indices"": 56, ""text_mismatch"": 2066}","{""length"": 14, ""stop"": 986}"
gemma-3-4b-it,three-shot,2401,1000,1000,0,969,212,31,"{""duplicate_prediction"": 2, ""invalid_label"": 77, ""out_of_range_indices"": 66, ""text_mismatch"": 2152}","{""length"": 31, ""stop"": 969}"
gemma-3-4b-it,three-shot,42,1000,1000,0,992,536,8,"{""invalid_label"": 17, ""missing_fields"": 1, ""out_of_range_indices"": 15, ""text_mismatch"": 849}","{""length"": 8, ""stop"": 992}"
gemma-3-4b-it,zero-shot,fixed,1000,1000,0,958,389,42,"{""invalid_label"": 40, ""missing_fields"": 1, ""out_of_range_indices"": 169, ""text_mismatch"": 1185}","{""length"": 42, ""stop"": 958}"
phi-4-mini-instruct,one-shot,1771,1000,1000,0,955,152,45,"{""invalid_label"": 307, ""missing_fields"": 31, ""non_integer_indices"": 9, ""out_of_range_indices"": 5, ""overlapping_prediction"": 2, ""text_mismatch"": 3613}","{""length"": 45, ""stop"": 955}"
phi-4-mini-instruct,one-shot,2401,1000,1000,0,978,463,22,"{""invalid_label"": 270, ""missing_fields"": 11, ""non_integer_indices"": 3, ""out_of_range_indices"": 7, ""overlapping_prediction"": 1, ""text_mismatch"": 1992}","{""length"": 22, ""stop"": 978}"
phi-4-mini-instruct,one-shot,42,1000,1000,0,933,497,65,"{""invalid_label"": 403, ""missing_fields"": 12, ""non_integer_indices"": 7, ""out_of_range_indices"": 9, ""text_mismatch"": 1671}","{""length"": 65, ""stop"": 933}"
phi-4-mini-instruct,three-shot,1771,1000,1000,0,967,578,33,"{""invalid_label"": 152, ""missing_fields"": 29, ""non_integer_indices"": 14, ""out_of_range_indices"": 7, ""overlapping_prediction"": 1, ""text_mismatch"": 1934}","{""length"": 33, ""stop"": 967}"
phi-4-mini-instruct,three-shot,2401,1000,1000,0,969,468,31,"{""invalid_label"": 266, ""missing_fields"": 12, ""non_integer_indices"": 6, ""out_of_range_indices"": 1, ""text_mismatch"": 2341}","{""length"": 31, ""stop"": 969}"
phi-4-mini-instruct,three-shot,42,1000,1000,0,984,758,16,"{""invalid_label"": 179, ""non_integer_indices"": 3, ""text_mismatch"": 909}","{""length"": 16, ""stop"": 984}"
phi-4-mini-instruct,zero-shot,fixed,1000,1000,0,905,295,95,"{""duplicate_prediction"": 2, ""invalid_label"": 86, ""out_of_range_indices"": 10, ""text_mismatch"": 1489}","{""length"": 95, ""stop"": 905}"
qwen3-0.6b,one-shot,1771,1000,1000,0,793,52,208,"{""invalid_label"": 235, ""out_of_range_indices"": 14, ""text_mismatch"": 3454}","{""length"": 208, ""stop"": 792}"
qwen3-0.6b,one-shot,2401,1000,1000,0,890,131,110,"{""invalid_label"": 172, ""out_of_range_indices"": 5, ""text_mismatch"": 2788}","{""length"": 110, ""stop"": 890}"
qwen3-0.6b,one-shot,42,1000,1000,0,970,362,30,"{""invalid_label"": 101, ""out_of_range_indices"": 5, ""text_mismatch"": 1077}","{""length"": 30, ""stop"": 970}"
qwen3-0.6b,three-shot,1771,1000,1000,0,715,73,288,"{""invalid_label"": 188, ""missing_fields"": 11, ""not_an_object"": 1, ""out_of_range_indices"": 15, ""text_mismatch"": 3098}","{""length"": 288, ""stop"": 712}"
qwen3-0.6b,three-shot,2401,1000,1000,0,907,86,96,"{""invalid_label"": 150, ""missing_fields"": 2, ""not_an_object"": 4, ""out_of_range_indices"": 5, ""text_mismatch"": 2908}","{""length"": 96, ""stop"": 904}"
qwen3-0.6b,three-shot,42,1000,1000,0,971,174,29,"{""invalid_label"": 199, ""missing_fields"": 2, ""out_of_range_indices"": 14, ""text_mismatch"": 1849}","{""length"": 29, ""stop"": 971}"
qwen3-0.6b,zero-shot,fixed,1000,1000,0,967,855,33,"{""invalid_label"": 13, ""text_mismatch"": 168}","{""length"": 33, ""stop"": 967}"
qwen3-1.7b,one-shot,1771,1000,1000,0,996,479,4,"{""invalid_label"": 115, ""out_of_range_indices"": 14, ""overlapping_prediction"": 1, ""text_mismatch"": 1462}","{""length"": 4, ""stop"": 996}"
